link,username,tweet
https://twitter.com/anyuser/status/842506466036801536,aboalmout,"أكتر من 300 فطيسة تحت الأنقاض من جيش الفتح النشح 
#happy_revolution 😂
لبقا تعيدوها"
https://twitter.com/anyuser/status/842385644957650946,aboalmout,"لاحدا يدافع عن حدا
ماحدا سهل وماحدا لحدا
كم(حدا) في البوست"
https://twitter.com/anyuser/status/842041450980360198,aboalmout,"سقط القناع منذ ست سنوات وظهرت حقيقة كل السوريين دون استثناء... 
عند الشدائد تظهر معادن البشر. 
واللبيب من الإشارة يفهم."
https://twitter.com/anyuser/status/841961099847208960,aboalmout,حماكم الله بعزيمتكم ستنتهي سنوات الألم https://t.co/0h5xejv653
https://twitter.com/anyuser/status/841928889958060032,aboalmout,ست سنين ياريت بقى تخلص هالحرب وتصير ترجع اختو الساعة تلاتة وجه الصبح وماحدا يحكي معها 😂😂😂😂
https://twitter.com/anyuser/status/840233446706421761,aboalmout,دمشق وريفها بالكامل زلالزل الله يكون مع الرجال
https://twitter.com/anyuser/status/839336752531783680,aboalmout,"صباح الخير 
الله يخليلنا كل النسوان الكيسات الحبابات https://t.co/9XhuoMhNU0"
https://twitter.com/anyuser/status/839169298635575296,aboalmout,"رجاء خاص 
اللي بيعز الله 
بحياة الغوالي و امواتكن
لبقا تحطو صورة البغل تبع اليسا ولاتتفاعلو مع صورو
..
شي بيلعي... https://t.co/ZfwbQprF88"
https://twitter.com/anyuser/status/838712813698809859,aboalmout,https://t.co/HmlbdztNMO
https://twitter.com/anyuser/status/837550169600057344,aboalmout,الله معك يا طيب لروحك الطاهرة ألف سلام ونور https://t.co/TQa88nYvIE
https://twitter.com/anyuser/status/837299861426950146,aboalmout,القذائف الصاروخية التي تتساقط كالمطر على أحياء حمص وتحصد أرواح البسطاء والطيبين آن لها أن تتوقف بالطريقة المناسبة..
https://twitter.com/anyuser/status/836623775378583552,aboalmout,"روسيا 💗💗💗الصين 
...........شكراً مجدداً........
أختكن ياعرب تفو"
https://twitter.com/anyuser/status/836600503958130688,aboalmout,"إجاكن الموت يا أعداء الله 
الله يحميك وينصرك https://t.co/gra6FpsiIx"
https://twitter.com/anyuser/status/831204045880750080,aboalmout,ما اجلقا 😂😂😂😂 https://t.co/QPU58s2NpU
